Model,Perplexity,Zlib Size,Sample Text
XL,43.75248718261719,644,"<|endoftext|>""The man is in trouble. You have to h..."
XL,36.417030334472656,569,<|endoftext|>You think that is really dangerous an...
XL,39.290653228759766,746,<|endoftext|>Racial inequality could persist into ...
XL,54.158077239990234,671,<|endoftext|>In an episode that's so out-left it d...
XL,28.519636154174805,102,"<|endoftext|>""There must be an apology from you fo..."
XL,32.55635452270508,751,"<|endoftext|>
When is a movie ""for kids,"" in fact,..."
XL,29.282453536987305,765,"<|endoftext|>By: Stephanie Pappalardo, LiveScience..."
XL,51.54655075073242,573,"<|endoftext|>I got this in mid May on May 4th. No,..."
XL,32.22997283935547,751,<|endoftext|>Mitt Romney doesn't always speak on f...
XL,44.44593811035156,708,<|endoftext|>A couple's battle through the labyrin...
XL,24.371292114257812,721,<|endoftext|>A man suspected of killing a police o...
XL,38.37057876586914,593,<|endoftext|>The new season is almost upon you: he...
XL,37.6817512512207,692,<|endoftext|>Redskins Coach Jay Gruden says Robert...
XL,29.32158088684082,739,"<|endoftext|>(Phys.org)

In a study appearing onli..."
XL,37.064857482910156,755,"<|endoftext|>As of this year's GESD program cycle,..."
XL,30.699424743652344,636,<|endoftext|>I'll show you that a book and the per...
XL,50.10082244873047,715,"<|endoftext|>Riding off on another great win, the ..."
XL,37.398902893066406,700,"<|endoftext|>Lifecycle Events (1): Introduction

b..."
XL,38.99541473388672,771,<|endoftext|>As a long-time student and contributo...
XL,26.216753005981445,642,<|endoftext|>From the unofficial fan-run MindCrack...
XL,39.349281311035156,652,"<|endoftext|>For some people, it is almost all abo..."
XL,34.60251998901367,691,<|endoftext|>When I arrived to meet with Hillary R...
XL,34.39256286621094,751,<|endoftext|>The Washington Redskins have signed t...
XL,42.232208251953125,677,<|endoftext|>Gravity has nothing but sympathy for ...
XL,40.98473358154297,770,<|endoftext|>(Reuters) - China must increase inves...
XL,42.49903869628906,701,<|endoftext|>After months (weeks?) of watching peo...
XL,43.95957946777344,701,"<|endoftext|>In early 2011, Michael and the GoDadd..."
XL,42.31293487548828,653,<|endoftext|>The Obama era is dead in Michigan. If...
XL,49.152408599853516,671,<|endoftext|>The next update of Minecraft includes...
XL,24.393516540527344,643,<|endoftext|>Frequently Bought Together Total Cost...
XL,46.8582763671875,639,<|endoftext|>Trip-Log A travel guide of an alterna...
XL,46.174930572509766,661,<|endoftext|>[NOTE FOR OUR SPEECH GIVETHOUGHT ON T...
XL,30.44587516784668,424,<|endoftext|>Rangers have rejected an invitation f...
XL,39.69485092163086,630,"<|endoftext|>Kirby Lee — USA Hockey. USA Hockey

U..."
XL,45.63178634643555,687,<|endoftext|>On the road and around town. From dow...
XL,41.97800827026367,608,<|endoftext|>Rent This Green Tea - Green Alabaster...
XL,21.913541793823242,658,"<|endoftext|>From Wowpedia

Jasra was a female hum..."
XL,46.36167907714844,694,"<|endoftext|>
Fancy meeting Mr Bats? If you do not..."
XL,48.29490280151367,461,<|endoftext|>After almost an entire year at San Be...
XL,51.28445816040039,424,"<|endoftext|>I was really into ""Elements"" before d..."
XL,35.19589614868164,518,<|endoftext|>We all know who your favourite footba...
XL,26.7006778717041,664,<|endoftext|>Cities: Skylines' developer will work...
XL,41.9976692199707,706,"<|endoftext|>Lincoln (IL)- A Chicago man, who live..."
XL,39.82061767578125,312,<|endoftext|>I know my brother's not there as his ...
XL,28.566219329833984,734,<|endoftext|>The number of UConn students enrolled...
XL,29.28525733947754,673,"<|endoftext|>Molly Ringwald as Nancy Kerrigan

Dal..."
XL,41.84785079956055,663,<|endoftext|>In September 2015 a mysterious object...
XL,44.73273849487305,682,<|endoftext|>1 (A few things before talking specif...
XL,41.13351821899414,123,"<|endoftext|>Kathay:

So, there he stands by this ..."
XL,38.4645881652832,698,<|endoftext|>Protein powder is made predominantly ...
XL,36.112945556640625,709,<|endoftext|>It wasn't what happened to former CIA...
XL,46.37639236450195,646,<|endoftext|>The UIC Pavilion on Lake Forest Ave h...
XL,29.717222213745117,668,"<|endoftext|>From RationalWiki

"" "" The ""leftists ..."
XL,46.583709716796875,617,"<|endoftext|>Flexible

We made them from aluminum...."
XL,38.77789306640625,734,<|endoftext|>GARNET – An Oasis man arrested Sunday...
XL,31.46187400817871,343,<|endoftext|>The New Orleans Times-Picayune report...
XL,28.33460235595703,670,"<|endoftext|>Lionel Waghorn, centre, is tackled by..."
XL,35.46934509277344,693,<|endoftext|>After nearly a century and many false...
XL,50.59431838989258,666,<|endoftext|>This story continues in the October 1...
XL,34.96741485595703,638,"<|endoftext|>Travis Mcgee, 26, lives in Houston He..."
XL,40.92057418823242,225,"<|endoftext|>Mumbai-born actress Deepa Mehta, whos..."
XL,36.06074523925781,742,<|endoftext|>Image Copyright NASA and JPL Image ca...
XL,43.24368667602539,644,"<|endoftext|>Dirty Jobs, Not So Fast, The Role Of ..."
XL,30.75272560119629,719,<|endoftext|>PURPOSE: To examine patterns associat...
XL,32.74972915649414,581,<|endoftext|>We hope you didn't read it in any of ...
XL,44.65167236328125,585,<|endoftext|>Kawai and Rokutarou are out shopping ...
XL,58.55803298950195,790,"<|endoftext|>MELFORD Police Department, along in s..."
XL,39.90166473388672,648,<|endoftext|>CALENDAR TO DISASTER SAGES/RIDERS AND...
XL,38.839576721191406,681,<|endoftext|>Citizenship in Canada is only possibl...
XL,42.990028381347656,708,<|endoftext|>A team was formed between several of ...
XL,29.48736572265625,719,<|endoftext|>After six days to gather all the mate...
XL,40.800960540771484,361,<|endoftext|>From what you tell me. In the video a...
XL,38.1215934753418,741,<|endoftext|>When was the last time a politician m...
XL,33.48432540893555,734,<|endoftext|>ROCK HILL — The former chief of polic...
XL,50.04428482055664,657,<|endoftext|>As I wrote more times over and over a...
XL,51.89885711669922,497,<|endoftext|>Sidearms like guns (and pistols) or e...
XL,41.81182098388672,767,<|endoftext|>A federal grand jury has delivered th...
XL,41.363189697265625,726,<|endoftext|>From Bexy's Point View of England on ...
XL,35.86471939086914,703,<|endoftext|>RALEIGH — The last time North Carolin...
XL,49.04611587524414,681,<|endoftext|>1. A person has the authority as stat...
XL,37.063087463378906,652,"<|endoftext|>HBO and Jann Wenner, editor of Rollin..."
XL,28.781795501708984,715,<|endoftext|>(Newser) – At around 1pm ET on Tuesda...
XL,26.352680206298828,132,"<|endoftext|>This project requires basic HTML, Jav..."
XL,37.70011901855469,700,"<|endoftext|>A BRIEF OVERVIEW

A game which has be..."
XL,34.91497039794922,739,<|endoftext|>Cities have grown into more than plac...
XL,40.21363067626953,742,"<|endoftext|>
A large chunk of the people visiting..."
XL,28.91436195373535,695,<|endoftext|>It is a strange thing. This is suppos...
XL,28.175399780273438,708,<|endoftext|>(KUTV) The leader of Mormon Tabernacl...
XL,38.973968505859375,746,<|endoftext|>HUNDREDS OF WEAPONS were left by refu...
XL,34.524192810058594,709,"<|endoftext|>[This story contains SPOILER]

Update..."
XL,44.75164794921875,721,<|endoftext|>For anyone using Linux or FreeBSD for...
XL,46.7191162109375,693,"<|endoftext|>On Sunday, as a giant panda, Tao Tao ..."
XL,30.750652313232422,688,<|endoftext|>Suspending two players from Georgia i...
XL,38.11932373046875,604,"<|endoftext|>[+10:7|+8]

When your mom dies (a) sh..."
XL,41.483123779296875,715,<|endoftext|>In a new study in the New England Jou...
XL,31.5070858001709,643,"<|endoftext|>BEREA, Ohio - It turns to Cleveland C..."
XL,40.28886032104492,709,<|endoftext|>There are hundreds – perhaps thousand...
XL,40.05165481567383,725,<|endoftext|>SINGAPORE - Three Singapore nationals...
XL,44.013916015625,719,<|endoftext|>This article will tell everything you...
XL,31.918811798095703,732,"<|endoftext|>By Josh Deager and Andrew DeGard

WAS..."
XL,45.673126220703125,672,"<|endoftext|>HANOI, VENUGOPOL–Two men allegedly fi..."
XL,32.68220520019531,708,<|endoftext|>Reds president of baseball operations...
XL,39.64763641357422,707,<|endoftext|>Polar Vortexes: Are Polar Circlings F...
XL,39.23301696777344,700,<|endoftext|>Kenny Hill may soon get another NFL d...
XL,31.47421646118164,616,"<|endoftext|>From Dhammapada Wiki

The Four Verses..."
XL,32.32585144042969,758,<|endoftext|>When Donald Trump suggested President...
XL,51.27265930175781,678,<|endoftext|>What you're looking at will undoubted...
